"Местное время в Уфе / им. Мустая Карима (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"29.10.2022 02:00";"0.0";"756.5";"769.6";"75";"Ветер, дующий с востоко-юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"29.10.2022 01:30";"-2.0";"756.4";"769.6";"86";"Ветер, дующий с юго-востока";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"29.10.2022 01:00";"-1.0";"756.5";"769.6";"80";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"29.10.2022 00:30";"-1.0";"756.5";"769.6";"80";"Ветер, дующий с юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"29.10.2022 00:00";"-1.0";"757.3";"770.4";"80";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 23:30";"0.0";"757.3";"770.4";"75";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 23:00";"1.0";"757.4";"770.4";"70";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 22:30";"1.0";"757.4";"770.4";"70";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 22:00";"1.0";"757.4";"770.4";"70";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 21:30";"1.0";"757.4";"770.4";"70";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 21:00";"1.0";"757.4";"770.4";"70";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 20:30";"1.0";"757.4";"770.4";"70";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 20:00";"0.0";"757.3";"770.4";"80";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 19:30";"1.0";"757.4";"770.4";"75";"Ветер, дующий с юго-юго-востока";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 19:00";"1.0";"758.0";"771.1";"75";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 18:30";"1.0";"758.0";"771.1";"75";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 18:00";"2.0";"758.1";"771.1";"70";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 17:30";"2.0";"758.1";"771.1";"70";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 17:00";"3.0";"758.1";"771.1";"65";"Ветер, дующий с юга";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 16:30";"3.0";"758.1";"771.1";"65";"Ветер, дующий с юга";"4";"";"";"";"";"10.0 и более";"-3.0";
"28.10.2022 16:00";"3.0";"758.1";"771.1";"65";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 15:30";"4.0";"758.2";"771.1";"56";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 15:00";"3.0";"758.1";"771.1";"60";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 14:30";"3.0";"758.9";"771.9";"60";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 14:00";"3.0";"758.9";"771.9";"65";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 13:30";"2.0";"758.9";"771.9";"65";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 13:00";"2.0";"758.9";"771.9";"70";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-3.0";
"28.10.2022 12:30";"0.0";"758.8";"771.9";"75";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 12:00";"-1.0";"758.7";"771.9";"80";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-4.0";
"28.10.2022 11:30";"-2.0";"758.7";"771.9";"80";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-5.0";
"28.10.2022 11:00";"-3.0";"759.4";"772.7";"86";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-5.0";
"28.10.2022 10:30";"-3.0";"759.4";"772.7";"80";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-6.0";
"28.10.2022 10:00";"-5.0";"759.3";"772.7";"86";"Ветер, дующий с юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 09:30";"-6.0";"759.3";"772.7";"93";"Ветер, дующий с юго-юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 09:00";"-7.0";"759.2";"772.7";"93";"Переменное направление";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 08:30";"-7.0";"759.2";"772.7";"93";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 08:00";"-6.0";"759.3";"772.7";"86";"Ветер, дующий с юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 07:30";"-6.0";"759.3";"772.7";"86";"Ветер, дующий с юго-востока";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 07:00";"-6.0";"759.3";"772.7";"86";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 06:30";"-5.0";"759.3";"772.7";"80";"Штиль, безветрие";"0";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 06:00";"-6.0";"759.3";"772.7";"86";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 05:30";"-5.0";"759.3";"772.7";"80";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 05:00";"-5.0";"759.3";"772.7";"86";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 04:30";"-5.0";"760.0";"773.4";"86";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 04:00";"-5.0";"760.0";"773.4";"86";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 03:30";"-5.0";"760.0";"773.4";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 03:00";"-5.0";"760.0";"773.4";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 02:30";"-5.0";"760.0";"773.4";"80";"Ветер, дующий с юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 02:00";"-5.0";"760.0";"773.4";"80";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"28.10.2022 01:30";"-4.0";"760.1";"773.4";"80";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 01:00";"-4.0";"760.1";"773.4";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 00:30";"-4.0";"760.1";"773.4";"80";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"28.10.2022 00:00";"-4.0";"760.1";"773.4";"80";"Ветер, дующий с юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"27.10.2022 23:30";"-4.0";"760.1";"773.4";"80";"Ветер, дующий с юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"27.10.2022 23:00";"-5.0";"760.0";"773.4";"80";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"27.10.2022 22:30";"-5.0";"760.5";"773.9";"80";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"27.10.2022 22:00";"-4.0";"760.1";"773.4";"80";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"27.10.2022 21:30";"-5.0";"760.0";"773.4";"80";"Ветер, дующий с юга";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"27.10.2022 21:00";"-5.0";"760.5";"773.9";"80";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"27.10.2022 20:30";"-5.0";"760.5";"773.9";"80";"Ветер, дующий с юга";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"27.10.2022 20:00";"-5.0";"760.5";"773.9";"80";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"27.10.2022 19:30";"-4.0";"760.6";"773.9";"74";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-8.0";
"27.10.2022 19:00";"-4.0";"760.6";"773.9";"80";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"27.10.2022 18:30";"-3.0";"760.6";"773.9";"74";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"-7.0";
"27.10.2022 18:00";"-2.0";"760.7";"773.9";"69";"Ветер, дующий с юго-юго-востока";"1";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 17:30";"0.0";"760.8";"773.9";"64";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 17:00";"1.0";"760.8";"773.9";"60";"Ветер, дующий с запада";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 16:30";"1.0";"760.8";"773.9";"56";"Ветер, дующий с запада";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 16:00";"1.0";"760.8";"773.9";"56";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 15:30";"2.0";"761.6";"774.7";"52";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 15:00";"1.0";"761.6";"774.7";"56";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 14:30";"1.0";"761.6";"774.7";"56";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 14:00";"2.0";"761.6";"774.7";"52";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 13:30";"1.0";"761.6";"774.7";"56";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 13:00";"2.0";"761.6";"774.7";"52";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 12:30";"1.0";"761.6";"774.7";"56";"Ветер, дующий с юга";"3";"8";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 12:00";"2.0";"761.6";"774.7";"52";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 11:30";"2.0";"761.6";"774.7";"56";"Ветер, дующий с юго-запада";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 11:00";"1.0";"761.6";"774.7";"56";"Ветер, дующий с юга";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 10:30";"1.0";"761.6";"774.7";"60";"Ветер, дующий с юга";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 10:00";"1.0";"761.6";"774.7";"56";"Переменное направление";"1";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 09:30";"0.0";"760.8";"773.9";"64";"Штиль, безветрие";"0";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 09:00";"-1.0";"760.7";"773.9";"75";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 08:30";"0.0";"760.8";"773.9";"60";"Ветер, дующий с юго-юго-запада";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-7.0";
"27.10.2022 08:00";"0.0";"760.8";"773.9";"64";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 07:30";"-1.0";"760.7";"773.9";"75";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 07:00";"-1.0";"760.7";"773.9";"75";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 06:30";"-1.0";"760.7";"773.9";"69";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 06:00";"0.0";"760.3";"773.4";"64";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 05:30";"-1.0";"760.2";"773.4";"75";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 05:00";"0.0";"760.3";"773.4";"64";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 04:30";"-1.0";"760.2";"773.4";"75";"Переменное направление";"1";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 04:00";"0.0";"760.3";"773.4";"64";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 03:30";"0.0";"760.3";"773.4";"69";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 03:00";"0.0";"759.6";"772.7";"64";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 02:30";"0.0";"759.6";"772.7";"69";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 02:00";"0.0";"759.6";"772.7";"64";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"27.10.2022 01:30";"0.0";"759.6";"772.7";"69";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 01:00";"0.0";"758.8";"771.9";"69";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"27.10.2022 00:30";"0.0";"758.8";"771.9";"75";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-4.0";
"27.10.2022 00:00";"0.0";"758.8";"771.9";"75";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-4.0";
"26.10.2022 23:30";"0.0";"758.8";"771.9";"75";"Ветер, дующий с северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-4.0";
"26.10.2022 23:00";"0.0";"758.8";"771.9";"69";"Ветер, дующий с северо-запада";"4";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"26.10.2022 22:30";"1.0";"758.0";"771.1";"56";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-7.0";
"26.10.2022 22:00";"1.0";"758.0";"771.1";"60";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"26.10.2022 21:30";"1.0";"758.0";"771.1";"60";"Ветер, дующий с севера";"2";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"26.10.2022 21:00";"1.0";"758.0";"771.1";"60";"Ветер, дующий с севера";"4";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-6.0";
"26.10.2022 20:30";"1.0";"757.4";"770.4";"65";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"26.10.2022 20:00";"1.0";"757.4";"770.4";"65";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"26.10.2022 19:30";"1.0";"757.4";"770.4";"65";"Ветер, дующий с северо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-5.0";
"26.10.2022 19:00";"1.0";"756.6";"769.6";"70";"Ветер, дующий с севера";"4";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-4.0";
"26.10.2022 18:30";"1.0";"756.6";"769.6";"70";"Ветер, дующий с севера";"5";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-4.0";
"26.10.2022 18:00";"1.0";"755.9";"768.9";"70";"Ветер, дующий с севера";"5";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-4.0";
"26.10.2022 17:30";"2.0";"755.9";"768.9";"65";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-4.0";
"26.10.2022 17:00";"2.0";"755.9";"768.9";"65";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-4.0";
"26.10.2022 16:30";"2.0";"755.1";"768.1";"65";"Ветер, дующий с севера";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-4.0";
"26.10.2022 16:00";"2.0";"755.1";"768.1";"65";"Ветер, дующий с севера";"6";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-4.0";
"26.10.2022 15:30";"2.0";"754.4";"767.3";"65";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-4.0";
"26.10.2022 15:00";"2.0";"754.4";"767.3";"70";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-3.0";
"26.10.2022 14:30";"2.0";"753.7";"766.6";"70";"Ветер, дующий с северо-северо-запада";"7";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-3.0";
"26.10.2022 14:00";"2.0";"753.7";"766.6";"70";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-3.0";
"26.10.2022 13:30";"2.0";"753.7";"766.6";"65";"Ветер, дующий с севера";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-4.0";
"26.10.2022 13:00";"2.0";"753.7";"766.6";"70";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-3.0";
"26.10.2022 12:30";"2.0";"752.9";"765.8";"70";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-3.0";
"26.10.2022 12:00";"2.0";"752.9";"765.8";"75";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Рассеянная (40-50%) 420 м, сплошная (100%) 1200 м";"10.0 и более";"-2.0";
"26.10.2022 11:30";"2.0";"752.1";"765.0";"75";"Ветер, дующий с севера";"6";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 420 м, сплошная (100%) 1200 м";"10.0 и более";"-2.0";
"26.10.2022 11:00";"1.0";"752.1";"765.0";"81";"Ветер, дующий с севера";"7";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 420 м, сплошная (100%) 1200 м";"10.0 и более";"-2.0";
"26.10.2022 10:30";"1.0";"752.1";"765.0";"81";"Ветер, дующий с севера";"7";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 420 м, сплошная (100%) 1200 м";"10.0 и более";"-2.0";
"26.10.2022 10:00";"1.0";"751.4";"764.3";"81";"Ветер, дующий с севера";"6";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-2.0";
"26.10.2022 09:30";"1.0";"751.4";"764.3";"81";"Ветер, дующий с севера";"6";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-2.0";
"26.10.2022 09:00";"0.0";"750.5";"763.5";"80";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-3.0";
"26.10.2022 08:30";"0.0";"750.5";"763.5";"87";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 600 м";"10.0 и более";"-2.0";
"26.10.2022 08:00";"-1.0";"750.5";"763.5";"93";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-2.0";
"26.10.2022 07:30";"0.0";"749.8";"762.8";"87";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-2.0";
"26.10.2022 07:00";"0.0";"749.8";"762.8";"93";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-1.0";
"26.10.2022 06:30";"0.0";"749.8";"762.8";"93";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"10.0 и более";"-1.0";
"26.10.2022 06:00";"1.0";"749.1";"762.0";"87";"Ветер, дующий с северо-северо-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-1.0";
"26.10.2022 05:30";"0.0";"749.1";"762.0";"93";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-1.0";
"26.10.2022 05:00";"0.0";"749.1";"762.0";"93";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-1.0";
"26.10.2022 04:30";"1.0";"748.3";"761.2";"87";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 750 м";"10.0 и более";"-1.0";
"26.10.2022 04:00";"0.0";"748.3";"761.2";"93";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 750 м";"10.0 и более";"-1.0";
"26.10.2022 03:30";"1.0";"748.3";"761.2";"87";"Ветер, дующий с северо-северо-запада";"2";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 300 м, сплошная (100%) 600 м";"10.0 и более";"-1.0";
"26.10.2022 03:00";"0.0";"747.6";"760.5";"93";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 300 м, сплошная (100%) 600 м";"10.0 и более";"-1.0";
"26.10.2022 02:30";"0.0";"747.6";"760.5";"93";"Ветер, дующий с северо-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 480 м";"10.0 и более";"-1.0";
"26.10.2022 02:00";"0.0";"747.6";"760.5";"93";"Ветер, дующий с северо-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 600 м";"10.0 и более";"-1.0";
"26.10.2022 01:30";"0.0";"747.6";"760.5";"93";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 900 м";"10.0 и более";"-1.0";
"26.10.2022 01:00";"0.0";"747.6";"760.5";"93";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-1.0";
"26.10.2022 00:30";"0.0";"747.6";"760.5";"93";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Сплошная (100%) 1200 м";"10.0 и более";"-1.0";
"26.10.2022 00:00";"0.0";"747.6";"760.5";"87";"Ветер, дующий с северо-запада";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-2.0";
"25.10.2022 23:30";"0.0";"746.8";"759.7";"87";"Ветер, дующий с северо-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-2.0";
"25.10.2022 23:00";"0.0";"746.8";"759.7";"87";"Ветер, дующий с западо-северо-запада";"2";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 1200 м";"10.0 и более";"-2.0";
"25.10.2022 22:30";"0.0";"746.8";"759.7";"87";"Ветер, дующий с северо-запада";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-2.0";
"25.10.2022 22:00";"0.0";"746.8";"759.7";"87";"Ветер, дующий с северо-запада";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-2.0";
"25.10.2022 21:30";"0.0";"746.8";"759.7";"87";"Ветер, дующий с северо-запада";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-2.0";
"25.10.2022 21:00";"0.0";"746.8";"759.7";"80";"Ветер, дующий с северо-запада";"3";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-3.0";
"25.10.2022 20:30";"0.0";"746.8";"759.7";"80";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"-3.0";
"25.10.2022 20:00";"1.0";"746.8";"759.7";"75";"Ветер, дующий с севера";"2";"";"";"";"Разорванная (60-90%) 900 м";"10.0 и более";"-3.0";
"25.10.2022 19:30";"1.0";"746.2";"759.0";"75";"Ветер, дующий с северо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-3.0";
"25.10.2022 19:00";"1.0";"746.2";"759.0";"75";"Ветер, дующий с северо-северо-запада";"6";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-3.0";
"25.10.2022 18:30";"1.0";"746.2";"759.0";"75";"Ветер, дующий с северо-северо-запада";"5";"";"";"";"Разорванная (60-90%) 750 м";"10.0 и более";"-3.0";
